restaurante,categoria,pedidos
615,CAT_B,566
616,CAT_A,30
617,CAT_B,2061
618,CAT_B,425
619,CAT_B,87
620,CAT_A,181
621,CAT_B,126
622,CAT_B,421
623,CAT_B,9
624,CAT_B,209
625,CAT_B,2105
626,CAT_B,7
627,CAT_A,42
628,CAT_B,284
629,CAT_A,1694
630,CAT_A,566
631,CAT_B,152
632,CAT_B,908
633,CAT_A,521
634,CAT_A,47
635,CAT_B,52
636,CAT_A,1592
637,CAT_A,1776
638,CAT_A,1132
639,CAT_B,1278
640,CAT_B,136
641,CAT_B,316
642,CAT_A,75
643,CAT_A,146
644,CAT_B,2109
645,CAT_A,269
646,CAT_B,121
647,CAT_A,395
648,CAT_B,152
649,CAT_B,2847
650,CAT_A,279
651,CAT_B,339
652,CAT_B,331
653,CAT_B,281
654,CAT_B,33
655,CAT_B,1107
656,CAT_A,8
657,CAT_B,1177
658,CAT_B,498
659,CAT_A,124
660,CAT_B,723
661,CAT_B,790
662,CAT_A,820
663,CAT_B,1039
664,CAT_A,36
665,CAT_A,21
666,CAT_A,52
667,CAT_A,1833
668,CAT_B,161
669,CAT_A,514
670,CAT_A,948
671,CAT_A,934
672,CAT_A,2972
673,CAT_A,2947
674,CAT_B,144
675,CAT_A,232
676,CAT_B,189
677,CAT_B,1296
678,CAT_B,1424
679,CAT_A,59
680,CAT_B,1858
681,CAT_B,419
682,CAT_A,684
683,CAT_A,260
684,CAT_B,58
685,CAT_A,904
686,CAT_B,72
687,CAT_A,359
688,CAT_B,533
689,CAT_B,329
690,CAT_B,6
691,CAT_A,15
692,CAT_B,878
693,CAT_B,1718
694,CAT_A,135
695,CAT_A,182
696,CAT_A,2
697,CAT_B,247
698,CAT_B,108
699,CAT_B,18
700,CAT_A,11
701,CAT_A,1247
702,CAT_A,2383
703,CAT_A,3109
704,CAT_B,132
705,CAT_B,700
706,CAT_B,455
707,CAT_A,1933
708,CAT_B,327
709,CAT_A,3459
710,CAT_B,261
711,CAT_A,63
712,CAT_A,2864
713,CAT_A,967
714,CAT_A,96
715,CAT_B,807
716,CAT_B,268
717,CAT_A,3214
718,CAT_A,53
719,CAT_A,79
720,CAT_B,219
721,CAT_A,3899
722,CAT_B,2250
723,CAT_A,512
724,CAT_B,49
725,CAT_A,29
726,CAT_A,480
727,CAT_A,23
728,CAT_B,469
729,CAT_B,40
730,CAT_B,51
731,CAT_B,30
732,CAT_A,180
733,CAT_B,296
734,CAT_A,106
735,CAT_A,3
736,CAT_A,83
737,CAT_A,3851
738,CAT_B,1433
739,CAT_B,172
740,CAT_B,582
741,CAT_A,435
742,CAT_B,302
743,CAT_A,544
744,CAT_B,481
745,CAT_B,200
746,CAT_A,1471
747,CAT_A,191
748,CAT_A,46
749,CAT_A,225
750,CAT_A,128
751,CAT_B,815
752,CAT_A,15
753,CAT_B,11
754,CAT_A,176
755,CAT_B,160
756,CAT_A,643
757,CAT_B,93
758,CAT_B,318
759,CAT_A,56
760,CAT_A,2552
761,CAT_B,413
762,CAT_A,4368
763,CAT_B,438
764,CAT_B,373
765,CAT_B,167
766,CAT_B,707
767,CAT_B,1385
768,CAT_B,934
769,CAT_A,137
770,CAT_A,1043
771,CAT_A,54
772,CAT_B,1265
773,CAT_B,59
774,CAT_A,57
775,CAT_A,2671
776,CAT_A,1227
777,CAT_B,1092
778,CAT_B,45
779,CAT_B,10
780,CAT_B,23
781,CAT_A,23
782,CAT_B,155
783,CAT_A,49
784,CAT_A,5
785,CAT_A,1
786,CAT_A,675
787,CAT_B,534
788,CAT_B,103
789,CAT_A,2167
790,CAT_B,400
791,CAT_A,75
792,CAT_A,690
793,CAT_A,45
794,CAT_B,5
795,CAT_A,2532
796,CAT_A,1072
797,CAT_A,2294
798,CAT_B,525
799,CAT_A,1529
800,CAT_B,1798
801,CAT_B,311
802,CAT_B,119
803,CAT_A,1906
804,CAT_A,41
805,CAT_B,607
806,CAT_B,1078
807,CAT_A,108
808,CAT_A,17
809,CAT_B,16
810,CAT_B,52
811,CAT_A,67
812,CAT_B,51
813,CAT_B,513
814,CAT_A,1
815,CAT_B,2086
816,CAT_B,45
817,CAT_A,455
818,CAT_B,342
819,CAT_A,4713
820,CAT_B,197
821,CAT_A,149
822,CAT_A,427
823,CAT_B,39
824,CAT_B,136
825,CAT_A,297
826,CAT_B,24
827,CAT_A,1624
828,CAT_A,1707
829,CAT_A,1377
830,CAT_A,6035
831,CAT_B,140
832,CAT_B,1234
833,CAT_B,459
834,CAT_B,119
835,CAT_B,464
836,CAT_A,304
837,CAT_B,80
838,CAT_B,342
839,CAT_A,438
840,CAT_B,117
841,CAT_B,431
842,CAT_A,346
843,CAT_A,116
844,CAT_B,37
845,CAT_A,415
846,CAT_A,100
847,CAT_B,34
848,CAT_A,65
849,CAT_B,24
850,CAT_A,37
851,CAT_A,206
852,CAT_B,166
853,CAT_A,1016
854,CAT_B,418
855,CAT_B,508
856,CAT_A,32
857,CAT_B,407
858,CAT_A,7
859,CAT_A,13
860,CAT_B,23
861,CAT_B,1064
862,CAT_B,394
863,CAT_A,2791
864,CAT_A,57
865,CAT_B,1662
866,CAT_B,266
867,CAT_A,469
868,CAT_A,610
869,CAT_B,84
870,CAT_B,1636
871,CAT_B,546
872,CAT_A,12
873,CAT_A,34
874,CAT_B,320
875,CAT_B,232
876,CAT_B,50
877,CAT_B,107
878,CAT_B,112
879,CAT_A,1503
880,CAT_A,6098
881,CAT_A,1439
882,CAT_A,22
883,CAT_A,1586
884,CAT_A,3579
885,CAT_B,13
886,CAT_B,20
887,CAT_A,456
888,CAT_B,122
889,CAT_A,188
890,CAT_B,1079
891,CAT_B,671
892,CAT_B,224
893,CAT_A,2033
894,CAT_B,293
895,CAT_B,819
896,CAT_B,48
897,CAT_A,40
898,CAT_A,58
899,CAT_B,148
900,CAT_B,552
901,CAT_A,219
902,CAT_B,20
903,CAT_B,31
904,CAT_A,315
905,CAT_A,286
906,CAT_A,11014
907,CAT_A,1021
908,CAT_B,457
909,CAT_B,30
910,CAT_B,40
911,CAT_B,47
912,CAT_B,58
913,CAT_B,33
914,CAT_B,1435
915,CAT_B,38
916,CAT_B,211
917,CAT_A,4067
918,CAT_B,149
919,CAT_A,317
920,CAT_A,149
921,CAT_B,8
922,CAT_A,91
923,CAT_A,50
924,CAT_B,749
925,CAT_A,2
926,CAT_B,43
927,CAT_A,235
928,CAT_B,2531
929,CAT_A,3065
930,CAT_A,2531
931,CAT_B,134
932,CAT_A,369
933,CAT_A,767
934,CAT_A,759
935,CAT_A,37
936,CAT_A,1591
937,CAT_B,288
938,CAT_B,583
939,CAT_A,213
940,CAT_A,1739
941,CAT_A,360
942,CAT_A,386
943,CAT_B,53
944,CAT_B,152
945,CAT_B,1605
946,CAT_B,21
947,CAT_B,60
948,CAT_B,960
949,CAT_B,1704
950,CAT_B,732
951,CAT_A,356
952,CAT_A,146
953,CAT_A,733
954,CAT_B,465
955,CAT_B,36
956,CAT_A,30
957,CAT_A,76
958,CAT_A,1876
959,CAT_B,40
960,CAT_B,514
961,CAT_B,1940
962,CAT_A,1069
963,CAT_B,32
964,CAT_B,1914
965,CAT_A,146
966,CAT_A,252
967,CAT_B,1668
968,CAT_B,932
969,CAT_A,9
970,CAT_A,342
971,CAT_B,112
972,CAT_B,8
973,CAT_A,2550
974,CAT_A,1962
975,CAT_A,2644
976,CAT_B,660
977,CAT_A,906
978,CAT_A,592
979,CAT_B,861
980,CAT_A,946
981,CAT_B,943
982,CAT_A,488
983,CAT_B,624
984,CAT_A,3123
985,CAT_A,275
986,CAT_B,45
987,CAT_A,1027
988,CAT_A,114
989,CAT_B,1259
990,CAT_A,1486
991,CAT_A,160
992,CAT_B,256
993,CAT_A,121
994,CAT_A,3691
995,CAT_A,123
996,CAT_B,411
997,CAT_B,1445
998,CAT_B,691
999,CAT_A,111
1000,CAT_B,224
1001,CAT_B,74
1002,CAT_B,90
1003,CAT_A,35
1004,CAT_A,4
1005,CAT_A,1
1006,CAT_A,298
1007,CAT_A,1729
1008,CAT_A,2758
1009,CAT_B,644
1010,CAT_A,2204
1011,CAT_A,3843
1012,CAT_A,465
1013,CAT_B,306
1014,CAT_B,80
1015,CAT_B,131
1016,CAT_A,562
1017,CAT_A,1934
1018,CAT_A,3304
1019,CAT_B,791
1020,CAT_B,117
1021,CAT_A,87
1022,CAT_A,395
1023,CAT_B,144
1024,CAT_B,218
1025,CAT_B,1322
1026,CAT_A,287
1027,CAT_B,1016
1028,CAT_B,16
1029,CAT_B,31
1030,CAT_B,36
1031,CAT_A,353
1032,CAT_A,398
1033,CAT_A,614
1034,CAT_B,18
1035,CAT_A,538
1036,CAT_B,623
1037,CAT_A,384
1038,CAT_A,1154
1039,CAT_A,49
1040,CAT_A,1503
1041,CAT_B,1049
1042,CAT_A,425
1043,CAT_B,98
1044,CAT_A,273
1045,CAT_B,1557
1046,CAT_B,209
1047,CAT_A,465
1048,CAT_A,5
1049,CAT_A,380
1050,CAT_A,595
1051,CAT_A,492
1052,CAT_A,1266
1053,CAT_B,42
1054,CAT_B,444
1055,CAT_A,2115
1056,CAT_A,570
1057,CAT_A,3139
1058,CAT_A,164
1059,CAT_A,204
1060,CAT_A,313
1061,CAT_A,44
1062,CAT_A,117
1063,CAT_B,126
1064,CAT_A,4300
1065,CAT_A,290
1066,CAT_A,74
1067,CAT_B,71
1068,CAT_A,1189
1069,CAT_A,275
1070,CAT_B,18
1071,CAT_A,41
1072,CAT_A,832
1073,CAT_B,81
1074,CAT_A,165
1075,CAT_A,2483
1076,CAT_B,1335
1077,CAT_A,281
1078,CAT_A,2260
1079,CAT_B,321
1080,CAT_A,509
1081,CAT_A,350
1082,CAT_B,340
1083,CAT_A,10
1084,CAT_B,509
1085,CAT_B,363
1086,CAT_B,494
1087,CAT_A,1443
1088,CAT_A,6050
1089,CAT_A,1948
1090,CAT_B,1271
1091,CAT_A,2348
1092,CAT_A,4641
1093,CAT_A,2036
1094,CAT_B,145
1095,CAT_A,2595
1096,CAT_B,1365
1097,CAT_B,987
1098,CAT_B,388
1099,CAT_A,209
1100,CAT_B,382
1101,CAT_B,131
1102,CAT_A,430
1103,CAT_A,2622
1104,CAT_A,872
1105,CAT_B,727
1106,CAT_B,144
1107,CAT_B,89
1108,CAT_B,300
1109,CAT_A,1484
1110,CAT_A,238
1111,CAT_B,1578
1112,CAT_A,2845
1113,CAT_B,679
1114,CAT_A,2
1115,CAT_A,83
1116,CAT_B,64
1117,CAT_B,240
1118,CAT_A,117
1119,CAT_B,44
1120,CAT_B,146
1121,CAT_B,202
1122,CAT_A,3636
1123,CAT_A,481
1124,CAT_B,278
1125,CAT_A,77
1126,CAT_B,95
1127,CAT_A,229
1128,CAT_B,1117
1129,CAT_A,91
1130,CAT_B,5
1131,CAT_A,393
1132,CAT_A,103
1133,CAT_A,1421
1134,CAT_A,3804
1135,CAT_A,674
1136,CAT_B,278
1137,CAT_A,7
1138,CAT_B,1283
1139,CAT_A,1193
1140,CAT_B,259
1141,CAT_A,43
1142,CAT_A,212
1143,CAT_B,539
1144,CAT_A,128
1145,CAT_A,1132
1146,CAT_A,624
1147,CAT_B,1498
1148,CAT_A,146
1149,CAT_A,57
1150,CAT_A,504
1151,CAT_A,372
1152,CAT_B,27
1153,CAT_B,229
1154,CAT_B,3
1155,CAT_A,397
1156,CAT_A,3177
1157,CAT_A,991
1158,CAT_B,316
1159,CAT_B,88
1160,CAT_B,111
1161,CAT_B,30
1162,CAT_A,628
1163,CAT_B,1733
1164,CAT_A,27
1165,CAT_A,1085
1166,CAT_A,362
1167,CAT_B,114
1168,CAT_A,102
1169,CAT_B,9
1170,CAT_A,921
1171,CAT_A,918
1172,CAT_A,1262
1173,CAT_B,914
1174,CAT_B,347
1175,CAT_B,801
1176,CAT_A,219
1177,CAT_A,1023
1178,CAT_A,814
1179,CAT_A,265
1180,CAT_A,13
1181,CAT_B,176
1182,CAT_B,365
1183,CAT_A,630
1184,CAT_A,471
1185,CAT_B,601
1186,CAT_B,39
1187,CAT_A,150
1188,CAT_B,12
1189,CAT_B,704
1190,CAT_A,2493
1191,CAT_A,53
1192,CAT_A,67
1193,CAT_B,1392
1194,CAT_A,304
1195,CAT_B,1010
1196,CAT_B,541
1197,CAT_A,62
1198,CAT_B,8
1199,CAT_A,8
1200,CAT_B,6
1201,CAT_B,3
1202,CAT_B,1466
1203,CAT_A,2742
1204,CAT_A,2011
1205,CAT_B,1498
1206,CAT_A,255
1207,CAT_A,4556
1208,CAT_A,732
1209,CAT_A,1135
1210,CAT_A,190
1211,CAT_B,307
1212,CAT_A,163
1213,CAT_A,154
1214,CAT_B,1844
1215,CAT_B,16
1216,CAT_A,75
1217,CAT_A,157
1218,CAT_B,736
1219,CAT_B,562
1220,CAT_B,60
1221,CAT_B,465
1222,CAT_B,470
1223,CAT_B,941
1224,CAT_B,730
1225,CAT_B,530
1226,CAT_B,224
1227,CAT_B,22
1228,CAT_B,241
1229,CAT_A,21
1230,CAT_A,519
1231,CAT_B,1
1232,CAT_A,3071
1233,CAT_B,538
1234,CAT_A,634
1235,CAT_A,586
1236,CAT_B,3066
1237,CAT_A,876
1238,CAT_B,402
1239,CAT_A,39
1240,CAT_A,108
1241,CAT_A,194
1242,CAT_A,311
1243,CAT_A,185
1244,CAT_A,50
1245,CAT_B,27
1246,CAT_A,144
1247,CAT_B,2413
1248,CAT_B,387
1249,CAT_B,183
1250,CAT_A,684
1251,CAT_B,242
1252,CAT_A,201
1253,CAT_B,43
1254,CAT_A,2241
1255,CAT_A,32
1256,CAT_B,737
1257,CAT_A,125
1258,CAT_A,666
1259,CAT_B,29
1260,CAT_B,249
1261,CAT_A,399
1262,CAT_B,1243
1263,CAT_B,80
1264,CAT_A,7
1265,CAT_A,68
1266,CAT_A,1009
1267,CAT_B,51
1268,CAT_A,2598
1269,CAT_A,2278
1270,CAT_B,294
1271,CAT_A,1660
1272,CAT_A,703
1273,CAT_A,706
1274,CAT_A,506
1275,CAT_B,343
1276,CAT_A,32
1277,CAT_A,895
1278,CAT_B,51
1279,CAT_A,387
1280,CAT_B,711
1281,CAT_A,78
1282,CAT_B,8
1283,CAT_A,489
1284,CAT_A,81
1285,CAT_B,43
1286,CAT_A,420
1287,CAT_B,89
1288,CAT_A,677
1289,CAT_B,200
1290,CAT_A,426
1291,CAT_B,354
1292,CAT_B,171
1293,CAT_A,660
1294,CAT_B,1602
1295,CAT_B,28
1296,CAT_B,643
1297,CAT_A,728
1298,CAT_A,179
1299,CAT_A,36
1300,CAT_A,125
1301,CAT_B,114
1302,CAT_A,4686
1303,CAT_B,336
1304,CAT_A,1395
1305,CAT_B,157
1306,CAT_A,2532
1307,CAT_B,1139
1308,CAT_A,2645
1309,CAT_A,1016
1310,CAT_B,208
1311,CAT_B,1629
1312,CAT_A,87
1313,CAT_A,172
1314,CAT_B,311
1315,CAT_B,106
1316,CAT_A,487
1317,CAT_A,336
1318,CAT_B,23
1319,CAT_A,29
1320,CAT_A,5839
1321,CAT_B,98
1322,CAT_B,333
1323,CAT_B,469
1324,CAT_B,441
1325,CAT_A,551
1326,CAT_B,581
1327,CAT_B,223
1328,CAT_A,443
1329,CAT_B,567
