nomeLocalidade,estado,Cidade tem Aluno,Probabilidade
são joão do arraial,Piauí,Não,0.0
são luis do piauí,Piauí,Não,0.0
são lourenço do piauí,Piauí,Não,0.0
são julião,Piauí,Não,0.0
são josé do piauí,Piauí,Não,0.0
são josé do peixe,Piauí,Não,0.0
são josé do divino,Piauí,Não,0.0
são joão do piauí,Piauí,Não,0.0
ribeiro gonçalves,Piauí,Não,0.0
ribeira do piauí,Piauí,Não,0.0
riacho frio,Piauí,Não,0.0
novo santo antônio,Piauí,Não,0.0
palmeirais,Piauí,Não,0.0
palmeira do piauí,Piauí,Não,0.0
pajeú do piauí,Piauí,Não,0.0
paes landim,Piauí,Não,0.0
padre marcos,Piauí,Não,0.0
olho d'água do piauí,Piauí,Não,0.0
oeiras,Piauí,Não,0.0
novo oriente do piauí,Piauí,Não,0.0
parnaguá,Piauí,Não,0.0
nova santa rita,Piauí,Não,0.0
nossa senhora dos remédios,Piauí,Não,0.0
nossa senhora de nazaré,Piauí,Não,0.0
nazária,Piauí,Não,0.0
nazaré do piauí,Piauí,Não,0.0
murici dos portelas,Piauí,Não,0.0
morro do chapéu do piauí,Piauí,Não,0.0
paquetá,Piauí,Não,0.0
parnaíba,Piauí,Não,0.0
regeneração,Piauí,Não,0.0
pio ix,Piauí,Não,0.0
redenção do gurguéia,Piauí,Não,0.0
queimada nova,Piauí,Não,0.0
prata do piauí,Piauí,Não,0.0
porto alegre do piauí,Piauí,Não,0.0
porto,Piauí,Não,0.0
piripiri,Piauí,Não,0.0
piracuruca,Piauí,Não,0.0
pimenteiras,Piauí,Não,0.0
passagem franca do piauí,Piauí,Não,0.0
picos,Piauí,Não,0.0
pedro laurentino,Piauí,Não,0.0
pedro ii,Piauí,Não,0.0
pavussu,Piauí,Não,0.0
paulistana,Piauí,Não,0.0
pau d'arco do piauí,Piauí,Não,0.0
patos do piauí,Piauí,Não,0.0
simplício mendes,Piauí,Não,0.0
sussuapara,Piauí,Não,0.0
são joão de meriti,Rio de Janeiro,Não,0.0
tamboril do piauí,Piauí,Não,0.0
nova friburgo,Rio de Janeiro,Não,0.0
niterói,Rio de Janeiro,Não,0.0
natividade,Rio de Janeiro,Não,0.0
miracema,Rio de Janeiro,Não,0.0
miguel pereira,Rio de Janeiro,Não,0.0
mesquita,Rio de Janeiro,Não,0.0
mendes,Rio de Janeiro,Não,0.0
maricá,Rio de Janeiro,Não,0.0
mangaratiba,Rio de Janeiro,Não,0.0
magé,Rio de Janeiro,Não,0.0
macuco,Rio de Janeiro,Não,0.0
macaé,Rio de Janeiro,Não,0.0
laje do muriaé,Rio de Janeiro,Não,0.0
japeri,Rio de Janeiro,Não,0.0
itatiaia,Rio de Janeiro,Não,0.0
itaperuna,Rio de Janeiro,Não,0.0
itaocara,Rio de Janeiro,Não,0.0
paracambi,Rio de Janeiro,Não,0.0
paraíba do sul,Rio de Janeiro,Não,0.0
paraty,Rio de Janeiro,Não,0.0
rio claro,Rio de Janeiro,Não,0.0
são joão da barra,Rio de Janeiro,Não,0.0
são francisco de itabapoana,Rio de Janeiro,Não,0.0
são fidélis,Rio de Janeiro,Não,0.0
santo antônio de pádua,Rio de Janeiro,Não,0.0
santa maria madalena,Rio de Janeiro,Não,0.0
rio das ostras,Rio de Janeiro,Não,0.0
rio das flores,Rio de Janeiro,Não,0.0
rio bonito,Rio de Janeiro,Não,0.0
