nomeLocalidade,estado,Cidade tem Aluno,Probabilidade
nova esperança,Paraná,Não,0.00045291774
guabiju,Rio Grande do Sul,Não,0.0004520719
belo oriente,Minas Gerais,Não,0.0004481417
simões filho,Bahia,Não,0.0004434902
caucaia,Ceará,Não,0.00044230363
ceres,Goiás,Não,0.00044193526
miranda do norte,Maranhão,Não,0.00043941816
cáceres,Mato Grosso,Não,0.00043822223
vitória de santo antão,Pernambuco,Não,0.00043237195
pontes gestal,São Paulo,Não,0.00043181793
são mateus,Espírito Santo,Não,0.00042830067
tangará,Santa Catarina,Não,0.00042763347
santo antônio do tauá,Pará,Não,0.00042621559
torres,Rio Grande do Sul,Não,0.0004226211
araçatuba,São Paulo,Não,0.00042251934
astorga,Paraná,Não,0.0004216615
jambeiro,São Paulo,Não,0.0004184872
cachoeira,Bahia,Não,0.00041718053
dracena,São Paulo,Não,0.000414764
arcos,Minas Gerais,Não,0.00041454684
palmeira,Paraná,Não,0.0004142014
mateus leme,Minas Gerais,Não,0.00041326604
são luís de montes belos,Goiás,Não,0.00040718613
monte alto,São Paulo,Não,0.00040619387
murutinga do sul,São Paulo,Não,0.00039577793
escada,Pernambuco,Não,0.00039520147
venda nova do imigrante,Espírito Santo,Não,0.00039481928
maracaí,São Paulo,Não,0.00039471427
barra do ribeiro,Rio Grande do Sul,Não,0.0003946379
sarzedo,Minas Gerais,Não,0.00039397163
nova veneza,Santa Catarina,Não,0.00038400185
três lagoas,Mato Grosso do Sul,Não,0.00038270635
nova hartz,Rio Grande do Sul,Não,0.00038116146
matelândia,Paraná,Não,0.0003790267
imigrante,Rio Grande do Sul,Não,0.0003753597
canaã dos carajás,Pará,Não,0.0003725368
bebedouro,São Paulo,Não,0.00037079144
confins,Minas Gerais,Não,0.00036958716
maripá,Paraná,Não,0.0003695003
paraíso,São Paulo,Não,0.0003691676
macaíba,Rio Grande do Norte,Não,0.00036708754
andradas,Minas Gerais,Não,0.00036657785
catu,Bahia,Não,0.0003653007
rio negro,Paraná,Não,0.00036489312
nova bassano,Rio Grande do Sul,Não,0.00036483083
santa gertrudes,São Paulo,Não,0.00036274808
são sebastião do passé,Bahia,Não,0.0003625078
vargem bonita,Santa Catarina,Não,0.00036070094
são josé da barra,Minas Gerais,Não,0.0003570457
cezarina,Goiás,Não,0.0003540235
itapagipe,Minas Gerais,Não,0.00035312722
pilar,Alagoas,Não,0.00035301447
colorado,Paraná,Não,0.00035108614
conquista,Minas Gerais,Não,0.00035018995
indaial,Santa Catarina,Não,0.0003454392
piúma,Espírito Santo,Não,0.00034537716
jequié,Bahia,Não,0.00034502847
natividade,Rio de Janeiro,Não,0.00034253192
bom jardim,Rio de Janeiro,Não,0.00034181244
rodeio,Santa Catarina,Não,0.00033958154
carambeí,Paraná,Não,0.000339539
serrana,São Paulo,Não,0.00033679447
rio largo,Alagoas,Não,0.00033495107
embu-guaçu,São Paulo,Não,0.00033491084
cabedelo,Paraíba,Não,0.0003348294
cerro largo,Rio Grande do Sul,Não,0.00033218344
pejuçara,Rio Grande do Sul,Não,0.00033195264
biguaçu,Santa Catarina,Não,0.00033054987
santo ângelo,Rio Grande do Sul,Não,0.00033034448
mendes,Rio de Janeiro,Não,0.00032707187
eunápolis,Bahia,Não,0.0003259199
araçoiaba da serra,São Paulo,Não,0.00032568508
japurá,Paraná,Não,0.00032508883
veranópolis,Rio Grande do Sul,Não,0.00032498006
salto veloso,Santa Catarina,Não,0.00032492462
astolfo dutra,Minas Gerais,Não,0.0003245002
cafelândia,São Paulo,Não,0.00032428093
